orc 0.4.32-1
osinfo-db 20210426-1
ostree 2021.2-1
p11-kit 0.23.22-1
pacman 5.2.2-3
pacman-mirrorlist 20210405-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.4-1
pangomm 2.46.0-1
parted 3.4-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
perl 5.32.1-1
perl-clone 0.45-2
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-file-listing 6.14-1
perl-html-parser 3.76-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.29-1
perl-http-negotiate 6.01-8
perl-io-html 1.004-1
perl-libwww 6.53-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-net-http 6.21-1
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.09-1
perl-www-robotrules 6.02-8
perl-xml-parser 2.46-2
pinentry 1.1.1-1
pipewire 1:0.3.26-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
poppler 21.04.0-2
poppler-glib 21.04.0-2
popt 1.18-1
powerline-common 2.8.2-2
powerline-fonts 2.8.2-2
procps-ng 3.3.17-1
protobuf 3.15.8-1
psmisc 23.4-1
pulseaudio 14.2-3
pulsemixer 1.5.1-2
python 3.9.4-1
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-astroid 2.5.4-1
python-atspi 2.38.1-1
python-babel 2.9.0-1
python-backcall 0.2.0-3
python-beaker 1.11.0-6
python-cairo 1.20.0-3
python-chardet 4.0.0-1
python-configobj 5.0.6.r110.g3e2f4cc-1
python-decorator 4.4.2-4
python-docutils 0.16-4
python-gobject 3.40.1-1
python-idna 3.1-1
python-imagesize 1.2.0-4
python-isort 5.8.0-1
python-jedi 0.18.0-1
python-jinja 2.11.3-2
python-lazy-object-proxy 1.6.0-1
python-lxml 4.6.3-1
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 1.1.1-7
python-mccabe 0.6.1-8
python-netifaces 0.10.9-6
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-parso 1:0.8.1-1
python-patiencediff 0.2.1-3
python-pexpect 4.8.0-3
python-pickleshare 0.7.5-6
python-prompt_toolkit 3.0.18-1
python-ptyprocess 0.7.0-1
python-pyalsa 1.1.6-6
python-pycodestyle 2.7.0-2
python-pyflakes 2.3.1-1
python-pygments 2.8.1-1
python-pylint 2.7.4-1
python-pyparsing 2.4.7-3
python-pytz 2021.1-1
python-requests 2.25.1-1
python-setuptools 1:56.0.0-1
python-simplejson 3.17.2-4
python-six 1.15.0-3
python-snowballstemmer 2.1.0-1
python-sphinx 3.5.4-2
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-6
python-sphinxcontrib-devhelp 1.0.2-6
python-sphinxcontrib-htmlhelp 1.0.3-6
python-sphinxcontrib-jsmath 1.0.1-9
python-sphinxcontrib-qthelp 1.0.3-6
python-sphinxcontrib-serializinghtml 1.1.4-6
python-toml 0.10.2-3
python-traitlets 5.0.5-1
python-urllib3 1.26.4-1
python-wcwidth 0.2.5-3
python-wrapt 1.12.1-4
python-xlib 0.29-1
qqwing 1.3.4-5
qt5-base 5.15.2+kde+r188-1
qt5-x11extras 5.15.2-1
ranger 1.9.3-3
rav1e 0.4.1-1
readline 8.1.0-2
rest 0.8.1-3
rhash 1.4.1-1
robo3t-bin 1.4.3-1
rofi 1.6.1-1
rpmextract 1.0-9
rtkit 0.13-1
ruby 3.0.1-1
ruby-dbus 0.15.0-4
ruby-ffi 1.15.0-2
ruby-irb 1.3.5-1
ruby-maruku 0.7.3-6
ruby-rb-fsevent 0.10.4-2
ruby-rb-inotify 0.10.1-1
ruby-rdoc 6.3.0-3
ruby-reline 0.2.5-1
ruby-sass 3.7.4-3
ruby-sass-listen 4.0.0-9
ruby-yard 0.9.26-2
rubygems 3.2.15-1
run-parts 4.11.2-1
sbc 1.5-2
sdl 1.2.15-14
sdl2 2.0.14-1
sed 4.8-1
semver 7.3.5-2
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slack-desktop 4.15.0-1
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.35.5-1
srt 1.4.2-1
startup-notification 0.12-7
strace 5.12-1
sudo 1.9.6.p1-1
svt-av1 0.8.6-2
sysfsutils 2.1.1-1
systemd 248-5
systemd-libs 248-5
systemd-sysvcompat 248-5
taglib 1.12-1
tar 1.34-1
tdb 1.4.3-4
telepathy-glib 0.24.2-2
telepathy-idle 0.2.2-1
telepathy-logger 0.8.2-5
telepathy-mission-control 5.16.6-1
template-glib 3.34.0+4+g5196521-1
termite 15-3
termite-terminfo 15-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
tlp 1.3.1-2
totem-pl-parser 3.26.5-1
tracker3 3.1.1-2
tracker3-miners 3.1.1-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 5.15.3-1
ttf-hack 3.003-3
ttf-liberation 2.1.3-1
twolame 0.4.0-2
tzdata 2021a-1
udisks2 2.9.2-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vala 0.52.2-1
vi 1:070224-4
vid.stab 1.1-3
vim 8.2.2815-1
vim-runtime 8.2.2815-1
virtualbox 6.1.22-1
virtualbox-host-modules-arch 6.1.22-1
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.64.0-2
vulkan-headers 1:1.2.177-1
vulkan-icd-loader 1.2.176-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.20-1
webkit2gtk 2.32.0-2
webrtc-audio-processing 0.3.1-2
which 2.21-5
whois 5.5.9-1
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.8.3-1
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xbitmaps 1.1.2-2
xcape 1.2-4
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.2-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.0.1-1
xfsprogs 5.11.0-2
xkeyboard-config 2.32-1
xorg-bdftopcf 1.1-2
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.11-1
xorg-server-common 1.20.11-1
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2021.3-1
xterm 367-1
xvidcore 1.3.7-2
xz 5.2.5-1
yajl 2.1.0-4
yelp 40.0-1
yelp-tools 40.0-1
yelp-xsl 40.0-1
zeromq 4.3.4-1
zimg 3.0.1-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zstd 1.4.9-1
